"","survey_id","minutes","deltaVolume","countObs","LM_LengthOfWater","LM_LengthOverTime_prelimC1"
"1","HAR01_01_15-11-17",14,20.5,8,1.28895855146029,0.00153447446602415
"2","HAR01_02_15-11-17",8,39,5,2.45216504911957,0.00510867718566578
"3","HAR01_03_15-11-17",6,21,4,1.32039656491054,0.00366776823586261
"4","HAR01_04_15-11-17",8,20,5,1.25752053801004,0.00261983445418758
"5","HAR01_05_15-11-17",6,40.5,4,2.54647908947033,0.00707355302630646
"6","MED01_01_15-12-15",18,17,10,1.06889245730853,0.00098971523824864
"7","MED01_02_15-12-15",16,16,9,1.00601643040803,0.00104793378167503
"8","MED01_03_15-12-15",10,19,6,1.19464451110954,0.00199107418518256
"9","MED01_04_15-12-15",28,17,15,1.06889245730853,0.000636245510302697
"10","MED01_05_15-12-15",14,17,8,1.06889245730853,0.00127249102060539
"11","MED02_01_16-02-26",12,67.5,7,4.24413181578388,0.00589462752192205
"12","MED02_02_16-02-26",8,55.5,5,3.48961949297785,0.00727004061037053
"13","MED02_03_16-02-26",12,20,7,1.25752053801004,0.00174655630279172
"14","MED02_04_16-02-26",10,29,6,1.82340478011455,0.00303900796685759
"15","MED02_05_16-02-26",14,18,8,1.13176848420903,0.00134734343358218
"16","MIX01_01_16-02-05",10,64,6,4.02406572163212,0.0067067762027202
"17","MIX01_02_16-02-05",12,30,7,1.88628080701506,0.00261983445418758
"18","MIX01_03_16-02-05",8,71,5,4.46419790993563,0.0093004123123659
"19","MIX01_04_16-02-05",12,41,7,2.57791710292058,0.00358044042072302
"20","MIX01_05_16-02-05",12,44,7,2.76654518362208,0.00384242386614178
"21","MIX03_01_16-04-01",8,34,5,2.13778491461706,0.00445371857211888
"22","MIX03_02_16-04-01",24,14,13,0.880264376607026,0.000611294705977102
"23","MIX03_03_16-04-01",26,13,14,0.817388349706524,0.000523966890837516
"24","MIX03_04_16-04-01",10,20,6,1.25752053801004,0.00209586756335006
"25","MIX03_05_16-04-01",8,22,5,1.38327259181104,0.00288181789960634
"26","MIX05_01_16-04-08",22,4.5,12,0.282942121052258,0.000214350091706256
"27","MIX05_02_16-04-08",22,5.5,12,0.34581814795276,0.000261983445418758
"28","MIX05_03_16-04-08",22,6.5,12,0.408694174853262,0.000309616799131259
"29","MIX05_04_16-04-08",22,14,12,0.880264376607026,0.00066686695197502
"30","MIX05_05_16-04-08",22,5,12,0.314380134502509,0.000238166768562507
"31","NAT01_01_15-10-29",18,49,10,3.08092531812459,0.00285270862789314
"32","NAT01_02_15-10-29",20,19,11,1.19464451110954,0.00099553709259128
"33","NAT01_03_15-10-29",18,17,10,1.06889245730853,0.00098971523824864
"34","NAT01_04_15-10-29",20,25,11,1.57190067251255,0.00130991722709379
"35","NAT01_05_15-10-29",18,21,10,1.32039656491054,0.0012225894119542
"36","NAT02 _01_16-02-13",8,23,5,1.44614861871154,0.00301280962231571
"37","NAT02 _02_16-02-13",14,15,8,0.943140403507528,0.00112278619465182
"38","NAT02 _03_16-02-13",8,26,5,1.63477669941305,0.00340578479044385
"39","NAT02 _04_16-02-13",22,15.5,12,0.974578416957779,0.000738316982543772
"40","NAT02 _05_16-02-13",8,19,5,1.19464451110954,0.0024888427314782
"41","PMD_04_18-02-21",20,40,41,2.51504107602007,0.00209586756335006
"42","PMD01_NAT02_18-02-21",36.5,19,75,1.19464451110954,0.000545499776762345
"43","PMD03_MED02_18-02-21",17,18.5,35,1.16320649765928,0.00114039852711695
"44","PMD03_MED02_18-03-23",20.5,61.5,42,3.86687565438086,0.00314380134502509
"45","PMDHAR01_01_18-03-07",11.5,90,24,5.65884242104517,0.00820122090006546
"46","PMDHAR01_02_18-03-07",15,86,31,5.40733831344316,0.00600815368160351
"47","PMDHAR01_03_18-03-07",5,38,11,2.38928902221907,0.00796429674073024
"48","PMDHAR01_03_18-03-07-2",14.5,53,30,3.3324294257266,0.00383037865026046
"49","PMDHAR01_04_18-03-07",15,64,31,4.02406572163212,0.0044711841351468
"50","PMDHAR01_05_18-03-07",15,32,31,2.01203286081606,0.0022355920675734
"51","PMDMED01_01_18-03-14",17,43,35,2.70366915672158,0.00265065603600155
"52","PMDMED01_02_18-03-14",29.5,10,60,0.628760269005019,0.000355231790398316
"53","PMDMED01_03_18-03-14",16.5,32.5,34,2.04347087426631,0.00206411199420839
"54","PMDMED01_04_18-03-14",15.5,88.5,32,5.56452838069441,0.00598336385020905
"55","PMDMED01_05_18-03-14",17,81.5,35,5.1243961923909,0.00502391783567736
"56","PMDMED02_01_18-03-23",22,70.5,45,4.43275989648538,0.00335815143673135
"57","PMDMED02_02_18-03-23",38,4,61,0.251504107602007,0.000110308819123687
"58","PMDMED02_03_18-03-23",9.5,74,20,4.65282599063714,0.00816285261515287
"59","PMDMED02_03_18-03-23-2",17.5,81.5,36,5.1243961923909,0.00488037732608657
"60","PMDMED02_04_18-03-23",17.5,27,36,1.69765272631355,0.00161681212029862
"61","PMDMED02_05_18-03-23",20.5,75.5,42,4.74714003098789,0.00385946343982755
"62","PMDMIX01_01_18-03-07",17,13,35,0.817388349706524,0.000801361127163259
"63","PMDMIX01_02_18-03-30",24,10.5,49,0.66019828245527,0.000458471029482826
"64","PMDMIX01_03_18-03-07",39,4.5,50,0.282942121052258,0.000120915436347119
"65","PMDMIX01_04_18-03-07",15,15.5,31,0.974578416957779,0.00108286490773087
"66","PMDMIX01_05_18-03-07",18.5,2,34,0.125752053801004,0.000113290138559463
"67","PMDMIX01_05_18-03-07-2",28.5,2,48,0.125752053801004,7.3539212749125e-05
"68","PMDMIX03_01_18-03-30",15.5,38.5,32,2.42072703566932,0.00260293229641863
"69","PMDMIX03_02_18-03-30",15.5,55,32,3.4581814795276,0.00371847470916947
"70","PMDMIX03_03_18-03-30",35,10.5,39,0.66019828245527,0.000314380134502509
"71","PMDMIX03_04_18-03-30",16,19,33,1.19464451110954,0.0012444213657391
"72","PMDMIX03_05_18-03-30",15.5,16.5,32,1.03745444385828,0.00111554241275084
"73","PMDMIX05_01_18-04-09",36,10,52,0.628760269005019,0.000291092717131953
"74","PMDMIX05_02_18-04-09",6.5,63,14,3.96118969473162,0.010156896653158
"75","PMDMIX05_02_18-04-09-2",15.5,70,32,4.40132188303513,0.00473260417530659
"76","PMDMIX05_03_18-04-09",12.5,84,26,5.28158625964216,0.00704211501285621
"77","PMDMIX05_04_18-04-09",4,69,9,4.33844585613463,0.0180768577338943
"78","PMDMIX05_04_18-04-09-2",7,76,15,4.77857804443814,0.0113775667724718
"79","PMDMIX05_04_18-04-09-3",11.8333333333333,82,25,5.15583420584115,0.00726173831808613
"80","PMDMIX05_05_18-04-09",17.5,90,36,5.65884242104517,0.00538937373432873
"81","PMDNAT01_01_18-03-06",8.5,59.5,18,3.74112360057986,0.00733553647172522
"82","PMDNAT01_02_18-03-06",13.5,82.5,28,5.1872722192914,0.00640403977690297
"83","PMDNAT01_03_18-03-06",15.5,8,32,0.503008215204015,0.000540869048606468
"84","PMDNAT01_04_18-03-06",7.5,85.5,16,5.37590029999291,0.0119464451110954
"85","PMDNAT01_04_18-03-06-2",11.5,85.5,24,5.37590029999291,0.00779115985506219
"86","PMDNAT01_05_18-03-06",14.5,27.5,30,1.7290907397638,0.00198746062041816
"87","PMDNAT02_01_18-03-23",10,73.5,21,4.62138797718689,0.00770231329531148
"88","PMDNAT02_01_18-03-23-2",37,10,61,0.628760269005019,0.000283225346398657
"89","PMDNAT02_02_18-03-23",21.5,42.5,44,2.67223114327133,0.00207149701028785
"90","PMDNAT02_03_18-03-23",23,10,47,0.628760269005019,0.00045562338333697
"91","PMDNAT02_04_18-03-23",45,7.5,70,0.471570201753764,0.000174655630279172
"92","PMDNAT02_05_18-03-23",21.5,11.5,44,0.723074309355771,0.000560522720430831
